movie_genre,movie_rating,movie_title,movie_year
Adventure,6.7 / 10,Divergent,2014
Action,6.6 / 10,The Lost City of Z,2016
Adventure,6.5 / 10,The Girl on the Train,2016
Action,6 / 10,Exodus: Gods and Kings,2014
Adventure,6.2 / 10,American Assassin,2017
Action,6.3 / 10,Dr. Seuss' The Grinch,2018
Crime,7 / 10,Iron Man 2,2010
Action,5.1 / 10,The First Purge,2018
Adventure,6.3 / 10,The Commuter,2018
Action,6.5 / 10,Annabelle: Creation,2017
Thriller,7.5 / 10,Upgrade,2018
Animation,3.8 / 10,Escape Plan 2: Hades,2018
Comedy,6.5 / 10,Tag,2018
Action,7.7 / 10,The Theory of Everything,2014
Adventure,6.3 / 10,Maze Runner: The Scorch Trials,2015
Action,7.6 / 10,Gifted,2017
Horror,5.6 / 10,Transformers: Age of Extinction,2014
Action,6.6 / 10,Focus,2015
Crime,5.9 / 10,Power Rangers,2017
